session;date;dorsal;player;time;total_distance;minute_distance;distance_vrange1;distance_vrange2;distance_vrange3;distance_vrange4;distance_vrange5;distance_vrange6;max_speed;average_speed;num_dec_expl;max_dec;num_acc_expl;max_acc;player_load;hmld;hmld_count;hmld_relative;hmld_time;hid_intervals;num_hids;hsr;sprints;num_hsr;time_vrange4;rpe
Sesión Nº19;8/2/2024;2;San Emeterio;74.88;3169.92;42.33;1026.78;702.70;662.89;545.50;54.46;31.84;27.00;2.17;33;-6,423;35;4,547;0.00;502.29;159;6.71;2.80;1.03;4;75.79;2;4;1.86;5
Sesión Nº19;8/2/2024;3;Mendibe;74.88;3670.53;49.02;981.79;1018.80;1000.01;463.99;59.23;22.96;26.04;2.66;39;-5,724;40;4,673;0.00;486.33;163;6.50;2.77;1.05;5;67.63;1;5;1.66;3
Sesión Nº19;8/2/2024;4;A. Hernández;74.88;3132.34;41.83;933.53;845.69;882.30;316.53;11.96;0.00;21.36;2.36;40;-5,465;50;4,387;0.00;376.90;151;5.03;2.37;0.00;1;7.36;0;1;1.10;4
Sesión Nº19;8/2/2024;5;Llonch;74.88;3205.48;42.81;991.54;728.82;948.47;422.76;4.88;0.00;21.09;2.37;42;-6,615;38;3,648;0.00;431.49;159;5.76;2.69;0.00;1;3.06;0;1;1.54;6
Sesión Nº19;8/2/2024;6;Julio;74.88;3027.12;40.43;1024.78;655.38;798.47;378.54;30.20;0.00;23.00;2.29;37;-5,364;50;4,798;0.00;443.94;165;5.93;2.67;0.67;4;30.20;0;4;1.35;3
Sesión Nº19;8/2/2024;7;Zequi;74.88;3858.25;51.53;1236.55;1057.08;805.15;441.96;92.66;79.30;29.00;2.65;53;-4,972;60;5,586;0.00;729.73;204;9.74;3.74;0.35;10;168.27;5;10;1.54;3
Sesión Nº19;8/2/2024;8;Nsue;74.88;3725.22;49.75;1349.43;830.95;972.18;375.53;24.99;27.42;28.32;2.67;42;-5,240;46;4,593;0.00;532.12;179;7.11;3.12;0.32;3;47.22;1;3;1.34;3
Sesión Nº19;8/2/2024;9;Loca;74.88;3497.88;46.71;1115.92;944.57;941.08;289.77;50.35;21.40;26.03;2.53;52;-4,756;51;4,299;0.00;526.45;189;7.03;3.23;0.47;6;71.09;2;6;1.00;5
Sesión Nº19;8/2/2024;10;Borja M.;74.88;3495.56;46.68;896.47;981.85;844.22;421.29;71.59;97.53;27.67;2.55;31;-5,076;38;5,404;0.00;543.91;142;7.26;2.56;0.39;9;167.21;6;9;1.41;4
Sesión Nº19;8/2/2024;11;Pol Roige;74.88;3525.01;47.08;967.09;920.54;987.69;411.54;87.75;40.45;27.30;2.75;45;-6,040;48;4,752;0.00;666.86;190;8.91;3.47;0.24;10;127.60;3;10;1.43;
Sesión Nº19;8/2/2024;15;Álvaro;74.88;3343.44;44.65;1317.06;860.14;903.91;158.04;0.00;0.00;18.58;2.58;29;-5,103;40;4,648;0.00;313.94;135;4.19;2.32;0.00;0;0.00;0;0;0.58;5
Sesión Nº19;8/2/2024;16;Nacho;74.88;2372.76;31.69;795.89;701.47;605.62;135.25;0.66;0.00;19.77;1.95;18;-4,629;20;4,493;0.00;200.16;85;2.67;1.50;0.00;0;0.00;0;0;0.48;
Sesión Nº19;8/2/2024;17;E. Jiménez;74.88;3494.45;46.67;974.04;903.97;1119.98;324.12;26.08;28.79;27.27;2.55;43;-5,000;53;4,924;0.00;535.37;187;7.15;3.22;0.63;4;52.99;2;4;1.16;4
Sesión Nº19;8/2/2024;18;Burlamaqui;74.88;4065.17;54.29;1428.08;980.52;983.54;416.00;55.05;36.86;27.58;2.89;63;-5,367;67;4,893;0.00;766.92;287;10.24;4.80;0.47;8;90.66;2;8;1.46;6
Sesión Nº19;8/2/2024;20;Miki Codina;74.88;4391.01;58.64;1207.52;1127.64;1499.83;424.48;13.35;2.11;23.98;3.29;72;-6,157;53;4,580;0.00;587.69;245;7.85;4.05;0.00;1;13.55;0;1;1.55;
Sesión Nº19;8/2/2024;21;Sito;74.88;3260.67;43.55;1111.28;1028.53;691.89;281.27;30.94;15.09;26.15;2.38;30;-4,972;42;4,776;0.00;383.66;150;5.12;2.31;0.79;4;42.38;1;4;0.99;5
Sesión Nº19;8/2/2024;22;S. Montero;74.88;3407.75;45.51;1123.60;784.50;912.55;369.74;86.79;23.53;24.84;2.49;38;-6,288;47;4,330;0.00;599.14;179;8.00;3.37;0.44;8;104.91;4;8;1.29;4
Sesión Nº19;8/2/2024;23;Ñito González;74.88;4013.35;53.60;1195.13;958.58;1077.77;495.62;94.98;61.50;28.10;2.87;49;-5,339;64;4,552;0.00;733.94;221;9.80;3.96;0.43;8;154.02;3;8;1.73;4
Compensatorio Pol y Nacho;8/3/2024;11;Pol Roige;32.38;2555.78;78.93;565.24;232.98;945.14;380.25;249.00;73.70;25.30;4.38;18;-5,860;28;5,120;0.00;661.31;95;20.42;2.46;0.62;12;322.70;4;12;1.26;
Compensatorio Pol y Nacho;8/3/2024;16;Nacho;32.38;1835.03;56.67;494.58;246.81;561.72;302.21;179.95;49.67;25.22;3.44;21;-4,843;25;8,366;0.00;548.17;97;16.93;2.34;0.81;9;221.29;4;9;1.02;
Amistoso x Águilas;8/3/2024;2;San Emeterio;50.22;5249.31;104.53;688.85;1564.99;1651.96;1078.60;130.45;90.39;29.58;6.17;63;-6,615;66;4,575;0.00;1059.95;262;21.11;5.28;3.00;15;215.35;6;15;3.89;7
Amistoso x Águilas;8/3/2024;3;Mendibe;53.60;4865.90;90.78;1084.23;1150.73;1638.73;505.13;44.07;27.95;28.03;4.59;45;-6,115;32;4,956;0.00;668.79;203;12.48;3.86;6.17;6;65.62;3;6;1.72;6
Amistoso x Águilas;8/3/2024;4;A. Hernández;53.60;4925.46;91.89;932.66;1194.44;1878.10;743.71;108.37;29.16;25.54;5.43;65;-5,478;57;5,233;0.00;889.84;258;16.60;4.90;4.78;9;137.53;2;9;2.71;5
Amistoso x Águilas;8/3/2024;5;Llonch;103.82;5627.60;54.21;787.27;1262.33;2136.10;1256.26;98.58;48.42;27.13;3.37;76;-6,874;61;4,652;0.00;974.59;273;9.39;5.22;2.38;10;147.00;4;10;4.59;8
Amistoso x Águilas;8/3/2024;6;Julio;50.22;3705.38;73.79;427.74;958.99;1523.21;709.13;67.26;16.56;25.20;6.53;23;-6,023;23;4,450;0.00;511.42;122;10.18;2.53;3.49;7;74.88;2;7;2.55;3
Amistoso x Águilas;8/3/2024;7;Zequi;103.82;7628.43;73.48;1112.34;1894.62;2935.10;1226.94;201.19;112.77;28.10;5.30;119;-7,650;93;5,193;0.00;1658.48;431;15.97;8.60;2.50;21;309.08;9;21;4.36;8
Amistoso x Águilas;8/3/2024;8;Nsue;50.22;5343.24;106.40;695.42;1316.80;2243.47;883.07;102.76;49.35;28.58;6.32;44;-6,153;36;4,403;0.00;828.16;205;16.49;4.17;4.83;10;151.51;3;10;3.19;
Amistoso x Águilas;8/3/2024;9;Loca;103.82;6360.59;61.27;1019.21;1927.16;2317.87;814.20;105.59;92.04;29.91;5.32;63;-6,385;65;4,996;0.00;1023.52;281;9.86;5.24;2.69;15;196.44;6;15;2.94;8
Amistoso x Águilas;8/3/2024;10;Borja M.;50.22;3557.11;70.83;480.65;1106.36;1170.10;490.38;68.35;87.35;30.81;5.79;43;-6,540;46;5,092;0.00;717.28;175;14.28;3.62;3.09;10;155.70;6;10;1.71;7
Amistoso x Águilas;8/3/2024;15;Álvaro;50.22;4766.19;94.91;941.32;1261.28;1637.05;704.34;56.87;35.98;26.08;5.39;41;-5,062;44;4,584;0.00;645.53;177;12.86;3.50;11.31;5;92.85;3;5;2.48;7
Amistoso x Águilas;8/3/2024;17;E. Jiménez;50.22;5322.93;106.00;760.22;1419.37;1919.52;953.53;123.96;88.65;28.46;6.22;73;-6,302;61;5,724;0.00;1087.23;266;21.65;5.39;2.95;15;205.99;6;15;3.46;7
Amistoso x Águilas;8/3/2024;18;Burlamaqui;103.82;6847.49;65.96;1223.56;1795.83;2497.83;978.78;86.42;32.76;25.90;5.63;102;-6,799;78;4,601;0.00;1160.90;369;11.18;6.53;4.24;10;112.89;3;10;3.46;8
Amistoso x Águilas;8/3/2024;20;Miki Codina;103.82;8181.92;78.81;1565.70;1990.18;2885.30;1401.76;198.72;82.29;27.13;5.47;88;-6,963;100;4,402;0.00;1530.86;390;14.75;7.76;3.24;24;274.32;8;24;5.03;
Amistoso x Águilas;8/3/2024;21;Sito;53.60;4725.13;88.16;916.32;1632.47;1464.94;570.39;68.71;38.84;28.17;5.21;56;-5,666;47;4,936;0.00;745.49;215;13.91;4.08;4.33;9;104.51;3;9;2.05;7
Amistoso x Águilas;8/3/2024;22;S. Montero;103.82;7400.33;71.28;1156.04;1806.45;2936.89;1259.00;151.01;37.88;25.62;5.96;75;-5,092;63;4,144;0.00;1237.38;335;11.92;6.38;3.09;21;186.51;4;21;4.50;10
Amistoso x Águilas;8/3/2024;23;Ñito González;53.60;5850.03;109.14;773.41;1401.10;2007.98;1353.52;169.09;126.08;29.56;6.51;38;-5,722;65;4,723;0.00;1306.84;267;24.38;5.91;2.30;20;287.44;8;20;4.87;10
